member	published_entries	manifest_count	manifest_line_counts	classification
docs/migration/evidence/batch-c-artifacts/templates/G3/fixture-bytes/meta-mode-000	6	7	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G4/fixture-bytes/no-events	6	3	41	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G4/fixture-bytes/zero-byte-events	6	3	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m1-control	7	4	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m2-wrong-ref	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m3-wrong-actor	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m4-wrong-target	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m5-routed-vs-routed-mismatch	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G5/fixture-bytes/m6-mixed-routed-display	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G6/fixture-bytes/stopped-attention	3	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/G6/fixture-bytes/stopped-plain	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/G7/fixture-bytes/events-unknown-action	6	2	39	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G7/fixture-bytes/events-unknown-keys	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G7/fixture-bytes/meta-unknown-keys	6	4	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G8/fixture-bytes/no-trailing-newline	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G8/fixture-bytes/partial-trailing-record	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G9/fixture-bytes/goals-distinct-ts	3	2	32	STORE-SHAPED
