label	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	bound_s	timed_out	argv
canary-pre-h3-c15-unknown-subcmd	7	6dc1d784097e0bbabd2509f00ef436aaf7c9c86d90a28cc1493bcd551e3e40d8	43	130c2a4a0ef9164afd818343482883bf43e5024cc8dd1ecd85d803b5c80cd805	50	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-pre-h3-c15-unknown-subcmd-9f3c'; printf '%s\n' 'AE-H-CANARY-pre-h3-c15-unknown-subcmd-9f3c-stderr' >&2; exit 7
memo	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	cc2e7985b1efc8ae1087b5b92244f736f9e37b6d5a3245baa4e441971084db18	87	25	no	env TMUX=/tmp/aecx/h/h3c/s.sock,69296,0 TMUX_PANE=%0 /tmp/aecx/h/h3c/home/.ae/sessions/th3c/memo nosuchsub
canary-post-h3-c15-unknown-subcmd	7	9bf96fb8e1659c7f8dabec118396172eb6a453e161723b40aa7fcef6aa22ac2b	44	cecf93e4bbe759d8666965288b00281822a39f5cac050e91c19bd375c099f3da	51	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-post-h3-c15-unknown-subcmd-9f3c'; printf '%s\n' 'AE-H-CANARY-post-h3-c15-unknown-subcmd-9f3c-stderr' >&2; exit 7
