label	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	bound_s	timed_out	argv
canary-pre-h4-c06-at-nocolon	7	57925ee36f0a1541c77b89587ac871dcfa792431fcc8f6771ef438a84953ddb2	39	e8db1dc80d086d498d37aa18c4ef469f9197bad664fb1f12d108510c9f17a81d	46	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-pre-h4-c06-at-nocolon-9f3c'; printf '%s\n' 'AE-H-CANARY-pre-h4-c06-at-nocolon-9f3c-stderr' >&2; exit 7
resolve	1	095af0bdbe28e4eba1c1f41b002fa73faea24e1e00cc6f0c25bcca6a1149cb13	81	08386fa202ec8a071109cda95e3f203b6306b5ae05f4d1766e9316ebe3a5949f	64	20	no	env TMUX=/tmp/aecx/h/h5/s.sock,64135,0 TMUX_PANE=%0 /tmp/aecx/h/h5/probe.sh /tmp/aecx/h/h5/home/.ae/sessions/th5a @th5b
canary-post-h4-c06-at-nocolon	7	5deeb5059441e68a73e4e025b9cfe7190b60d9722a14b998cf166974e4f47378	40	d1887aa1c19450202478cd802a48ab6b70101c456a29cdf3cc404d0988c184bf	47	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-post-h4-c06-at-nocolon-9f3c'; printf '%s\n' 'AE-H-CANARY-post-h4-c06-at-nocolon-9f3c-stderr' >&2; exit 7
