label	rc	stdout_sha256	stdout_bytes	stderr_sha256	stderr_bytes	bound_s	timed_out	argv
canary-pre-h3-a02-working	7	5feb9864e0e54baab33ca958c7f629ee56f3c6b89af8ad6a339d0ab80b79efb3	36	b471b41111a4820ac163921a55e6618422b681f2cbe8536ecde012131be111fc	43	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-pre-h3-a02-working-9f3c'; printf '%s\n' 'AE-H-CANARY-pre-h3-a02-working-9f3c-stderr' >&2; exit 7
state	0	062d764e567f60dd890ca3c383515ee9276112b341e27b2100f420b8bc753f24	23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	25	no	env TMUX=/tmp/aecx/h/h3a/s.sock,54308,0 TMUX_PANE=%0 /tmp/aecx/h/h3a/home/.ae/sessions/th3a/state working
canary-post-h3-a02-working	7	43aab041d34fb099ae9ee1fc03d89b890903f9e5eb081baadc71af9c058e8bca	37	e065b97805652ea1828793a816bb7119ae3ca17b4ce65100e07a6a6322162da6	44	10	no	/opt/homebrew/bin/bash -c printf '%s\n' 'AE-H-CANARY-post-h3-a02-working-9f3c'; printf '%s\n' 'AE-H-CANARY-post-h3-a02-working-9f3c-stderr' >&2; exit 7
